seller_id,eligible_n,late_n,late_n_date,late_n_timestamp,candidate_delivered_n,coverage,coverage_pass,lfr,p_minus,comparator_usable,in_reference,gate_volume,gate_coverage,gate_comparator,gate_materiality,gate_half1,gate_half2,gate_half,handoff_pass,all_gates_pass,half_eligible_n_half1,half_late_n_half1,half_eligible_n_half2,half_late_n_half2,half_rate_gate_half1,half_rate_gate_half2,half_pass_half1,half_pass_half2,handoff_support_n,handoff_evaluable_late_n,eligible_n_ss,late_n_ss,eligible_n_ms,late_n_ms,majority_eligible_ms,majority_late_ms,too_thin_ss,n4_fire,n4_inconclusive,n4_majority,n4_too_thin_ss,ss_volume_pass,ss_late_pass,ss_p_minus,ss_comparator_usable,membership_provisional,excess_burden,rank,action_D,n4_fire_D,membership_D,selected_D,action_T,n4_fire_T,membership_T,selected_T,late_n_T,lfr_T,n5_action_disagree,action,membership,selected,final_action,date_timestamp_disagree_n,run_valid,source_quality_ok,snapshot_id,specification_id,window_start,window_end,C,O,R,S,simulation_S_equals_C,n5_refill_selected_flag,p_ss,majority_eligible_ms_flag,majority_late_ms_flag,too_thin_ss_flag,ss_comparator_usable_flag
06a2c3af7b3aee5d69171b0e14f0ee87,389,74,74,90,389,1,TRUE,0.19023136246786632,0.07697365093814798,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,96,22,293,52,TRUE,TRUE,TRUE,TRUE,66,74,388,74,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.07889395576877455,TRUE,TRUE,44.057249785060435,1,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,90,0.23136246786632392,FALSE,ENROLL_RECOMMENDED,YES,TRUE,ENROLL_RECOMMENDED,1,TRUE,TRUE,fulfilliq-olist-frozen-2026-09-08,fulfilliq-2.0-stage3-candidate-v0.2.1,2018-01-01,2018-09-01,20,0,0,20,TRUE,TRUE,0.07889395576877455,FALSE,FALSE,FALSE,TRUE
cac4c8e7b1ca6252d8f20b2fc1a2e4af,46,11,11,13,46,1,TRUE,0.2391304347826087,0.07789114793552107,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,19,5,27,6,TRUE,TRUE,TRUE,TRUE,6,11,44,11,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.07983072542514563,TRUE,TRUE,7.417007194966031,2,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,13,0.2826086956521739,FALSE,ENROLL_RECOMMENDED,YES,TRUE,ENROLL_RECOMMENDED,1,TRUE,TRUE,fulfilliq-olist-frozen-2026-09-08,fulfilliq-2.0-stage3-candidate-v0.2.1,2018-01-01,2018-09-01,20,0,0,20,TRUE,TRUE,0.07983072542514563,FALSE,FALSE,FALSE,TRUE
2eb70248d66e0e3ef83659f71b244378,187,21,21,26,187,1,TRUE,0.11229946524064172,0.07791586998087954,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,37,13,150,8,TRUE,TRUE,TRUE,TRUE,18,21,185,21,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.07986366019926586,TRUE,TRUE,6.429732313575526,3,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,26,0.13903743315508021,FALSE,ENROLL_RECOMMENDED,YES,TRUE,ENROLL_RECOMMENDED,1,TRUE,TRUE,fulfilliq-olist-frozen-2026-09-08,fulfilliq-2.0-stage3-candidate-v0.2.1,2018-01-01,2018-09-01,20,0,0,20,TRUE,TRUE,0.07986366019926586,FALSE,FALSE,FALSE,TRUE
bbad7e518d7af88a0897397ffdca1979,38,9,9,9,38,1,TRUE,0.23684210526315788,0.07792565857081986,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16,6,22,3,TRUE,TRUE,TRUE,TRUE,7,9,35,9,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.07986419430660747,TRUE,TRUE,6.038824974308845,4,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,9,0.23684210526315788,FALSE,ENROLL_RECOMMENDED,YES,TRUE,ENROLL_RECOMMENDED,0,TRUE,TRUE,fulfilliq-olist-frozen-2026-09-08,fulfilliq-2.0-stage3-candidate-v0.2.1,2018-01-01,2018-09-01,20,0,0,20,TRUE,TRUE,0.07986419430660747,FALSE,FALSE,FALSE,TRUE
b561927807645834b59ef0d16ba55a24,85,12,12,12,85,1,TRUE,0.1411764705882353,0.07794228356336261,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,30,7,55,5,TRUE,TRUE,TRUE,TRUE,6,12,82,12,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.07988390032162748,TRUE,TRUE,5.3749058971141785,5,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,12,0.1411764705882353,FALSE,ENROLL_RECOMMENDED,YES,TRUE,ENROLL_RECOMMENDED,0,TRUE,TRUE,fulfilliq-olist-frozen-2026-09-08,fulfilliq-2.0-stage3-candidate-v0.2.1,2018-01-01,2018-09-01,20,0,0,20,TRUE,TRUE,0.07988390032162748,FALSE,FALSE,FALSE,TRUE
c60b801f2d52c7f7f91de00870882a75,39,6,6,8,39,1,TRUE,0.15384615384615385,0.07800280729897734,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16,3,23,3,TRUE,TRUE,TRUE,TRUE,5,6,36,6,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.07994463161743581,TRUE,TRUE,2.957890515339884,6,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,8,0.20512820512820512,FALSE,ENROLL_RECOMMENDED,YES,TRUE,ENROLL_RECOMMENDED,1,TRUE,TRUE,fulfilliq-olist-frozen-2026-09-08,fulfilliq-2.0-stage3-candidate-v0.2.1,2018-01-01,2018-09-01,20,0,0,20,TRUE,TRUE,0.07994463161743581,FALSE,FALSE,FALSE,TRUE
e9d99831abad74458942f21e16f33f92,32,5,5,6,32,1,TRUE,0.15625,0.07801418439716312,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21,3,11,2,TRUE,TRUE,TRUE,TRUE,3,5,32,5,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.0799623952158358,TRUE,TRUE,2.50354609929078,7,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,ENROLL_RECOMMENDED,FALSE,TRUE,TRUE,6,0.1875,FALSE,ENROLL_RECOMMENDED,YES,TRUE,ENROLL_RECOMMENDED,1,TRUE,TRUE,fulfilliq-olist-frozen-2026-09-08,fulfilliq-2.0-stage3-candidate-v0.2.1,2018-01-01,2018-09-01,20,0,0,20,TRUE,TRUE,0.0799623952158358,FALSE,FALSE,FALSE,TRUE
0015a82c2db000af6aaaf3ae2ecb0532,0,0,0,0,0,NA,FALSE,NA,0.07807687492174784,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,STANDARD_NOT_QUALIFIED,FALSE,FALSE,FALSE,STANDARD_NOT_QUALIFIED,FALSE,FALSE,FALSE,0,NA,FALSE,STANDARD_NOT_QUALIFIED,NO,FALSE,STANDARD_NOT_QUALIFIED,0,TRUE,TRUE,fulfilliq-olist-frozen-2026-09-08,fulfilliq-2.0-stage3-candidate-v0.2.1,2018-01-01,2018-09-01,20,0,0,20,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
001cca7ae9ae17fb1caed9dfb1094831,24,2,2,3,24,1,TRUE,0.08333333333333333,0.07807687492174784,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,2,3,0,FALSE,FALSE,FALSE,FALSE,0,2,24,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,NA,STANDARD_NOT_QUALIFIED,FALSE,FALSE,FALSE,STANDARD_NOT_QUALIFIED,FALSE,FALSE,FALSE,3,0.125,FALSE,STANDARD_NOT_QUALIFIED,NO,FALSE,STANDARD_NOT_QUALIFIED,1,TRUE,TRUE,fulfilliq-olist-frozen-2026-09-08,fulfilliq-2.0-stage3-candidate-v0.2.1,2018-01-01,2018-09-01,20,0,0,20,TRUE,FALSE,NA,FALSE,FALSE,TRUE,FALSE
001e6ad469a905060d959994f1b41e4f,0,0,0,0,0,NA,FALSE,NA,0.07807687492174784,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,STANDARD_NOT_QUALIFIED,FALSE,FALSE,FALSE,STANDARD_NOT_QUALIFIED,FALSE,FALSE,FALSE,0,NA,FALSE,STANDARD_NOT_QUALIFIED,NO,FALSE,STANDARD_NOT_QUALIFIED,0,TRUE,TRUE,fulfilliq-olist-frozen-2026-09-08,fulfilliq-2.0-stage3-candidate-v0.2.1,2018-01-01,2018-09-01,20,0,0,20,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
